"","1","2","3","4","5","6","7","8","9","10","11","12"
"",265,296,263,206,415,424,212,268,360,910,374,298
"Herding",93,87,236,108,179,218,81,79,117,281,106,100
"Hound",33,32,8,0,36,48,23,0,16,45,32,18
"Non-Sporting",31,40,40,19,133,13,28,16,101,122,77,25
"Sporting",102,57,171,103,331,126,46,100,27,245,99,95
"Terrier",26,27,55,18,25,39,27,0,19,100,39,23
"Toy",27,158,189,105,220,259,79,30,42,181,28,27
"Working",0,44,52,46,75,56,68,21,46,79,4,31
