"","1","2","3","4","5","6","7","8","9","10","11","12"
"Cross Breed",73,43,113,16,221,161,92,95,96,298,195,46
"Mixed Breed/ Other/ I Don't Know",185,228,149,174,152,210,100,113,217,455,148,199
"Popular Hybrid",0,20,21,0,42,53,9,27,4,148,28,27
"Pure Breed",319,450,731,415,999,759,363,279,411,1062,388,345
