"","1","2","3","4","5","6","7","8","9","10","11","12"
">139",25,151,191,84,166,254,82,10,41,48,6,26
"0-19",104,131,117,99,186,216,38,120,116,511,139,88
"20-49",219,156,388,222,382,355,155,105,305,564,278,224
"50-89",175,253,282,162,545,291,230,275,235,739,324,260
"90-139",54,50,36,38,135,67,59,4,31,101,12,19
