"","1","2","3","4","5","6","7","8","9","10","11","12"
">10",20,79,45,0,153,76,6,11,42,63,43,35
"0-1",68,131,194,149,303,187,35,66,110,309,135,98
"2-4",255,284,277,228,463,491,288,258,267,697,345,289
"5-7",143,179,391,161,302,342,161,119,124,700,158,106
"7-10",91,68,107,67,193,87,74,60,185,194,78,89
