"","X.3","X.2","X.1","X","dog_guid","MIN.c.created_at.","hour","day","month","gender","neutered","personality","age","weight","breed","btype","bgroup","ntests","mid","PC1","PC2"
"110",110,110,110,111,"fd486a1c-7144-11e5-ba71-058fbc01cf0b","2013-07-19 23:12:09",23,6,7,"female",1,"charmer","7-10","90-139","St. Bernard-Labrador Retriever Mix","Cross Breed","",20,3.6163791423,-0.214998542404084,0.242276357738924
"111",111,111,111,112,"fd48b738-7144-11e5-ba71-058fbc01cf0b","2013-07-23 20:40:29",20,3,7,"male",0,"socialite","2-4","50-89","Labrador Retriever","Pure Breed","Sporting",20,1.1098324805,-1.36602227443134,-0.329945285474347
"112",112,112,112,113,"fd48f75c-7144-11e5-ba71-058fbc01cf0b","2013-08-07 15:01:09",15,4,8,"male",1,"protodog","2-4","50-89","Labrador Retriever","Pure Breed","Sporting",20,1.3228137183,0.550430526137098,0.741618534770379
"113",113,113,113,114,"fd491caa-7144-11e5-ba71-058fbc01cf0b","2013-08-07 16:23:04",16,4,8,"female",0,"stargazer","2-4","50-89","Golden Retriever","Pure Breed","Sporting",20,0.44158930312,1.43214478183848,0.0453343243860977
"114",114,114,114,115,"fd4a33a6-7144-11e5-ba71-058fbc01cf0b","2013-08-04 17:38:35",17,1,8,"female",1,"protodog","2-4","20-49","Icelandic Sheepdog","Pure Breed","Herding",28,7.4821626372,-1.5463500993644,2.61186553277802
"115",115,115,115,116,"fd4a3c84-7144-11e5-ba71-058fbc01cf0b","2013-09-02 02:17:16",2,2,9,"male",1,"charmer","2-4","50-89","Rottweiler","Pure Breed","Working",20,0.18293189571,1.60626028585221,0.476367281678049
"116",116,116,116,117,"fd4a6b6e-7144-11e5-ba71-058fbc01cf0b","2013-08-07 21:58:45",21,4,8,"male",0,"stargazer","0-1","0-19","Affenpinscher","Pure Breed","Toy",20,0.004853192006,-0.432209960659772,-2.73551078337071
"117",117,117,117,118,"fd4a7712-7144-11e5-ba71-058fbc01cf0b","2013-09-20 19:16:33",19,6,9,"male",1,"protodog","5-7","20-49","German Shepherd Dog","Pure Breed","Herding",20,0.14745065789,-1.20598783557888,1.23819114759695
"118",118,118,118,119,"fd4ae90e-7144-11e5-ba71-058fbc01cf0b","2013-08-08 19:58:02",19,5,8,"female",1,"ace","5-7","50-89","Labrador Retriever","Pure Breed","Sporting",20,3.3760897904,-1.36602227443134,-0.329945285474347
"119",119,119,119,120,"fd4b24fa-7144-11e5-ba71-058fbc01cf0b","2013-08-17 03:35:44",3,7,8,"male",1,"charmer","2-4","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",23,13.895530829,-0.801084284586547,-0.413039320398908
"120",120,120,120,121,"fd4bc1da-7144-11e5-ba71-058fbc01cf0b","2013-08-21 02:19:56",2,4,8,"female",1,"stargazer",">10","20-49","Poodle","Pure Breed","Non-Sporting",20,1.2562164961,0.0214969129326288,-1.53928183306951
"121",121,121,121,122,"fd50e192-7144-11e5-ba71-058fbc01cf0b","2013-09-01 18:12:42",18,1,9,"female",1,"ace","2-4","20-49","Poodle","Pure Breed","Non-Sporting",20,0.85374451755,-0.423548591341976,-1.32192449271745
"122",122,122,122,123,"fd515b68-7144-11e5-ba71-058fbc01cf0b","2013-09-20 21:10:35",21,6,9,"male",1,"einstein","2-4","50-89","Poodle","Pure Breed","Non-Sporting",20,0.26796661793,-0.656898055126524,-2.980228685858
"123",123,123,123,124,"fd51a5aa-7144-11e5-ba71-058fbc01cf0b","2013-08-28 21:17:57",21,4,8,"female",1,"socialite","2-4","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.14250426413,0.400187039467672,0.473504873749815
"124",124,124,124,125,"fd51daac-7144-11e5-ba71-058fbc01cf0b","2014-10-21 18:53:02",18,3,10,"male",1,"","5-7","0-19","Dachshund","Pure Breed","Hound",3,0.0059317129785,1.10108023019307,-0.559848614006584
"125",125,125,125,126,"fd52059a-7144-11e5-ba71-058fbc01cf0b","2013-09-03 14:08:04",14,3,9,"female",1,"ace","2-4","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",26,6.9281782407,-0.242953183242846,3.13076871102601
"126",126,126,126,127,"fd520720-7144-11e5-ba71-058fbc01cf0b","2013-09-06 13:10:59",13,6,9,"male",1,"protodog","5-7","50-89","Boxer","Pure Breed","Working",20,0.0048976608147,0.743302324701396,2.61790598686617
"127",127,127,127,128,"fd5273b8-7144-11e5-ba71-058fbc01cf0b","2013-12-01 16:18:16",16,1,12,"female",1,"charmer","7-10","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.0070845516594,-0.718665295508808,1.58311985741425
"128",128,128,128,129,"fd52a90a-7144-11e5-ba71-058fbc01cf0b","2013-09-12 00:31:24",0,5,9,"male",1,"protodog","7-10","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",20,11.149381092,0.584824499380594,-1.26913296522191
"129",129,129,129,130,"fd52b300-7144-11e5-ba71-058fbc01cf0b","2013-09-13 16:30:06",16,6,9,"female",1,"ace","7-10","50-89","Labradoodle","Popular Hybrid","",20,1.3788943713,-0.189529339847454,1.23021252815024
"130",130,130,130,131,"fd52c8cc-7144-11e5-ba71-058fbc01cf0b","2013-09-24 00:04:02",0,3,9,"male",1,"ace","2-4",">139","Black Russian Terrier","Pure Breed","Working",20,1.1923099415,0.805973623863354,0.727654515388197
"131",131,131,131,132,"fd538fa0-7144-11e5-ba71-058fbc01cf0b","2013-09-20 16:34:56",16,6,9,"female",1,"maverick","7-10","50-89","German Shepherd Dog-Rottweiler Mix","Cross Breed","",20,0.0015405701705,-0.475004025473774,1.75558421232291
"132",132,132,132,133,"fd539b8a-7144-11e5-ba71-058fbc01cf0b","2013-10-12 20:11:35",20,7,10,"female",1,"expert","5-7","50-89","Greyhound","Pure Breed","Hound",20,0.057015107216,-1.52966632504014,0.281658576152649
"133",133,133,133,134,"fd539c5c-7144-11e5-ba71-058fbc01cf0b","2013-10-21 12:36:39",12,2,10,"male",1,"charmer","5-7","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",20,2.190082846,1.3744808435084,0.117474552478562
"134",134,134,134,135,"fd53cf92-7144-11e5-ba71-058fbc01cf0b","2013-09-20 20:13:44",20,6,9,"female",1,"protodog","5-7","50-89","Golden Retriever-Chow Chow Mix","Cross Breed","",20,0.32024488304,-1.42057029130094,-0.126077331598681
"135",135,135,135,136,"fd53f044-7144-11e5-ba71-058fbc01cf0b","2013-09-18 01:25:17",1,4,9,"female",1,"protodog","2-4","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.019989035092,2.42768546573879,0.506223073052583
"136",136,136,136,137,"fd58eb76-7144-11e5-ba71-058fbc01cf0b","2013-10-05 20:46:33",20,7,10,"male",1,"ace","2-4","90-139","German Shepherd Dog","Pure Breed","Herding",25,13.989423708,-1.06497629744787,-1.93179287111985
"137",137,137,137,138,"fd591768-7144-11e5-ba71-058fbc01cf0b","2013-10-14 16:27:24",16,2,10,"male",1,"einstein","5-7","20-49","I Don't Know","Mixed Breed/ Other/ I Don't Know","",20,0.058450292398,-1.08415720056136,1.32442332505128
"138",138,138,138,139,"fd59188a-7144-11e5-ba71-058fbc01cf0b","2013-10-18 19:45:54",19,6,10,"female",1,"ace","7-10","20-49","Border Collie","Pure Breed","Herding",20,0.10655397174,-1.69331037564894,0.893262437779645
"139",139,139,139,140,"fd596966-7144-11e5-ba71-058fbc01cf0b","2013-10-10 17:30:35",17,5,10,"male",1,"einstein","7-10","50-89","Labrador Retriever","Pure Breed","Sporting",20,0.067424463942,-0.864263410957682,-0.397774007038756
"140",140,140,140,141,"fd5b15cc-7144-11e5-ba71-058fbc01cf0b","2013-11-03 16:07:52",16,1,11,"male",1,"socialite","2-4","50-89","Labrador Retriever-Golden Retriever Mix","Cross Breed","",20,5.3881572856,0.192564230938133,1.42954820179482
"141",141,141,141,142,"fd5b36b0-7144-11e5-ba71-058fbc01cf0b","2013-10-13 16:29:31",16,1,10,"male",1,"einstein","2-4","50-89","German Shepherd Dog","Pure Breed","Herding",20,0.056588084798,-0.64968095523562,0.966494472156875
"142",142,142,142,143,"fd5b4092-7144-11e5-ba71-058fbc01cf0b","2013-10-14 20:25:31",20,2,10,"male",1,"renaissance-dog","5-7","0-19","Havanese","Pure Breed","Toy",20,0.096899975637,-0.460436001385652,-0.86331019958724
"143",143,143,143,144,"fd5b56d6-7144-11e5-ba71-058fbc01cf0b","2013-10-21 15:14:25",15,2,10,"female",1,"stargazer","2-4","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",20,3.8999829435,-0.23134275543874,1.92804856723156
"144",144,144,144,145,"fd5c0e8c-7144-11e5-ba71-058fbc01cf0b","2013-10-22 13:50:31",13,3,10,"male",1,"stargazer","2-4","50-89","Golden Doodle","Popular Hybrid","",20,2.6932535331,-0.433190609882488,1.05774817324158
"145",145,145,145,146,"fd5c2f66-7144-11e5-ba71-058fbc01cf0b","2013-10-30 21:13:14",21,4,10,"male",1,"ace","7-10","50-89","Labrador Retriever","Pure Breed","Sporting",20,1.5805921053,-0.263771605187894,-1.38019941042039
"146",146,146,146,147,"fd5c77d2-7144-11e5-ba71-058fbc01cf0b","2013-10-30 23:52:59",23,4,10,"male",1,"socialite","2-4","50-89","Labrador Retriever-Golden Retriever Mix","Cross Breed","",20,0.2128076267,-0.205356523863572,-2.13739630822011
"147",147,147,147,148,"fd5c7e62-7144-11e5-ba71-058fbc01cf0b","2013-11-01 20:12:33",20,6,11,"female",0,"socialite","0-1","50-89","Labrador Retriever-Golden Retriever Mix","Cross Breed","",20,0.5272417154,-1.63876235877934,0.68939448390398
"148",148,148,148,149,"fd5d21a0-7144-11e5-ba71-058fbc01cf0b","2013-11-09 11:56:14",11,7,11,"female",1,"renaissance-dog","2-4","50-89","Beauceron","Pure Breed","Herding",20,0.01729836745,1.84761493001309,1.15077649707433
"149",149,149,149,150,"fd5d27fe-7144-11e5-ba71-058fbc01cf0b","2013-11-10 11:46:23",11,1,11,"male",1,"stargazer","2-4","50-89","Other","Mixed Breed/ Other/ I Don't Know","",20,0.053545930803,4.74473563464567,1.36146981831543
"150",150,150,150,151,"fd5d4d24-7144-11e5-ba71-058fbc01cf0b","2013-12-25 03:53:46",3,4,12,"female",1,"socialite",">10","50-89","Pointer","Pure Breed","Sporting",20,4.2682395224,3.72034242914643,-1.14250392179405
"151",151,151,151,152,"fd5e0a2a-7144-11e5-ba71-058fbc01cf0b","2013-11-19 21:59:37",21,3,11,"female",1,"ace","0-1","20-49","Cockapoo","Popular Hybrid","",23,14.773922559,-0.251273431231639,-1.74492571382893
"152",152,152,152,153,"fd5e203c-7144-11e5-ba71-058fbc01cf0b","2013-11-22 17:27:59",17,6,11,"female",1,"charmer","2-4","0-19","Chihuahua","Pure Breed","Toy",25,2.9277464313,-2.24244988125447,0.301308271867857
"153",153,153,153,154,"fd646406-7144-11e5-ba71-058fbc01cf0b","2013-11-27 17:11:21",17,4,11,"male",1,"protodog",">10","0-19","Bichon Frise","Pure Breed","Non-Sporting",20,0.0031499756304,-1.69331037564894,0.893262437779645
"154",154,154,154,155,"fd646820-7144-11e5-ba71-058fbc01cf0b","2013-11-28 11:52:13",11,5,11,"male",1,"renaissance-dog","5-7","20-49","German Shepherd Dog","Pure Breed","Herding",20,0.002237451269,4.74473563464567,1.36146981831543
"155",155,155,155,156,"fd64757c-7144-11e5-ba71-058fbc01cf0b","2013-11-29 20:29:48",20,6,11,"female",1,"socialite","2-4","0-19","Poodle","Pure Breed","Non-Sporting",20,7.0067050439,-0.820542105735327,-2.368624824231
"156",156,156,156,157,"fd64ae20-7144-11e5-ba71-058fbc01cf0b","2013-12-06 18:47:59",18,6,12,"male",1,"socialite","2-4","50-89","Australian Shepherd","Pure Breed","Herding",20,0.10264498051,-0.718665295508808,1.58311985741425
"157",157,157,157,158,"fd6512b6-7144-11e5-ba71-058fbc01cf0b","2013-12-10 00:00:34",0,3,12,"female",1,"protodog","7-10","0-19","Shih Tzu","Pure Breed","Toy",20,0.0021156189093,0.53191714572408,-0.193524263980654
"158",158,158,158,159,"fd652116-7144-11e5-ba71-058fbc01cf0b","2013-12-25 01:43:52",1,4,12,"male",1,"ace","2-4","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.0027284356704,0.53191714572408,-0.193524263980654
"159",159,159,159,160,"fd65343a-7144-11e5-ba71-058fbc01cf0b","2013-12-17 21:09:57",21,3,12,"male",1,"stargazer",">10","50-89","I Don't Know","Mixed Breed/ Other/ I Don't Know","",20,4.4883741472,1.58657305202706,-1.50587457699992
"160",160,160,160,161,"fd659b82-7144-11e5-ba71-058fbc01cf0b","2013-12-24 16:28:43",16,3,12,"male",1,"expert","2-4",">139","Great Dane","Pure Breed","Working",20,0.31831079435,-0.840495930526325,1.49688767995993
"161",161,161,161,162,"fd65b20c-7144-11e5-ba71-058fbc01cf0b","2014-01-17 04:47:23",4,6,1,"male",1,"renaissance-dog","2-4","50-89","German Shepherd Dog","Pure Breed","Herding",38,13.512659222,-0.216812355636236,0.202511577550997
"162",162,162,162,163,"fd65d71e-7144-11e5-ba71-058fbc01cf0b","2013-12-28 18:33:38",18,7,12,"male",1,"socialite","5-7","50-89","I Don't Know","Mixed Breed/ Other/ I Don't Know","",20,0.052149122808,-1.69331037564894,0.893262437779645
"163",163,163,163,164,"fd65fcd0-7144-11e5-ba71-058fbc01cf0b","2013-12-31 04:56:32",4,3,12,"male",1,"ace","7-10","50-89","Rottweiler-Border Collie Mix","Cross Breed","",20,3.843079922,3.52106584893254,-1.08319269318071
"164",164,164,164,165,"fd660072-7144-11e5-ba71-058fbc01cf0b","2014-01-04 15:01:56",15,7,1,"female",1,"renaissance-dog","2-4","50-89","German Shepherd Dog","Pure Breed","Herding",20,0.59364522417,0.442464075263135,1.03579092391918
"165",165,165,165,166,"fd662bb0-7144-11e5-ba71-058fbc01cf0b","2014-01-06 21:44:23",21,2,1,"male",0,"einstein","7-10","50-89","I Don't Know","Mixed Breed/ Other/ I Don't Know","",20,0.091839059452,0.00319352507432053,-0.573195457763737
"166",166,166,166,167,"fd662e76-7144-11e5-ba71-058fbc01cf0b","2014-01-07 18:31:39",18,3,1,"female",0,"protodog","2-4","0-19","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.0042013888871,-1.69331037564894,0.893262437779645
"167",167,167,167,168,"fd666670-7144-11e5-ba71-058fbc01cf0b","2014-01-12 17:58:21",17,1,1,"male",1,"charmer","5-7","50-89","Golden Retriever","Pure Breed","Sporting",20,0.0081432748487,-1.42057029130094,-0.126077331598681
"168",168,168,168,169,"fd6673d6-7144-11e5-ba71-058fbc01cf0b","2014-01-17 19:11:30",19,6,1,"male",1,"protodog","7-10","50-89","Labrador Retriever","Pure Breed","Sporting",20,1.2083601365,-1.69331037564894,0.893262437779645
"169",169,169,169,170,"fd667476-7144-11e5-ba71-058fbc01cf0b","2014-02-22 21:08:35",21,7,2,"male",1,"stargazer",">10","0-19","I Don't Know","Mixed Breed/ Other/ I Don't Know","",20,0.62588754873,-1.09328219008333,-1.34928505485267
"170",170,170,170,171,"fd667fde-7144-11e5-ba71-058fbc01cf0b","2014-01-30 20:59:57",20,5,1,"female",1,"charmer","2-4","50-89","Labrador Retriever","Pure Breed","Sporting",23,16.596052189,-0.693689972972617,0.0859502884371324
"171",171,171,171,172,"fd669d52-7144-11e5-ba71-058fbc01cf0b","2014-01-25 00:13:18",0,7,1,"male",1,"protodog","5-7","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",20,1.3279507797,2.32540636764915,-0.727325321500688
"172",172,172,172,173,"fd66c692-7144-11e5-ba71-058fbc01cf0b","2014-01-30 20:47:22",20,5,1,"female",1,"renaissance-dog","0-1","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",28,2.0641435185,-1.21906199814679,1.38865780952403
"173",173,173,173,174,"fd66c98a-7144-11e5-ba71-058fbc01cf0b","2014-01-31 20:55:00",20,6,1,"female",1,"socialite","2-4","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",20,4.4709052144,-1.42057029130094,-0.126077331598681
"174",174,174,174,175,"fd66d664-7144-11e5-ba71-058fbc01cf0b","2014-02-02 18:51:50",18,1,2,"male",1,"renaissance-dog","5-7","90-139","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.0029148391791,-1.69331037564894,0.893262437779645
"175",175,175,175,176,"fd66dad8-7144-11e5-ba71-058fbc01cf0b","2014-03-14 17:03:11",17,6,3,"male",1,"socialite","5-7","50-89","Golden Retriever","Pure Breed","Sporting",20,0.0095547027273,-1.47511830817054,0.0777906222769838
"176",176,176,176,177,"fd66dd62-7144-11e5-ba71-058fbc01cf0b","2014-03-06 02:03:55",2,5,3,"male",0,"stargazer","0-1","50-89","Labrador Retriever","Pure Breed","Sporting",20,0.82046905458,0.627040476263872,1.07161934890042
"177",177,177,177,178,"fd66e370-7144-11e5-ba71-058fbc01cf0b","2014-02-04 01:51:53",1,3,2,"male",1,"maverick","0-1","0-19","Miniature Schnauzer","Pure Breed","Terrier",20,0.012176535086,2.32540636764915,-0.727325321500688
"178",178,178,178,179,"fd66e654-7144-11e5-ba71-058fbc01cf0b","2014-02-23 10:16:21",10,1,2,"male",0,"socialite","0-1","50-89","German Shepherd Dog","Pure Breed","Herding",20,0.17670199805,0.527056024137566,0.534749653597851
"179",179,179,179,180,"fd66e794-7144-11e5-ba71-058fbc01cf0b","2014-03-14 17:43:34",17,6,3,"male",0,"protodog","5-7","50-89","Bearded Collie","Pure Breed","Herding",20,0.11147660819,-0.58502729962133,-0.356924058427136
"180",180,180,180,181,"fd66ea0a-7144-11e5-ba71-058fbc01cf0b","2014-02-05 06:36:37",6,4,2,"male",0,"protodog","2-4","20-49","I Don't Know","Mixed Breed/ Other/ I Don't Know","",20,3.4530677388,0.255573852730926,1.69676222710887
"181",181,181,181,182,"fd66ec8a-7144-11e5-ba71-058fbc01cf0b","2014-02-05 20:40:49",20,4,2,"female",1,"charmer","5-7","50-89","Doberman Pinscher","Pure Breed","Working",20,0.27388036062,-0.246912486756478,0.186851081635451
"182",182,182,182,183,"fd66edc0-7144-11e5-ba71-058fbc01cf0b","2014-02-16 21:45:09",21,1,2,"male",1,"protodog","2-4","50-89","Greyhound","Pure Breed","Hound",20,1.4138791423,-1.03873417321373,-1.55315300872834
"183",183,183,183,184,"fd6708fa-7144-11e5-ba71-058fbc01cf0b","2014-02-14 02:12:42",2,6,2,"female",1,"protodog",">10","50-89","German Shepherd Dog","Pure Breed","Herding",20,0.15105019493,0.741840822316514,-0.734789564310421
"184",184,184,184,185,"fd6718a4-7144-11e5-ba71-058fbc01cf0b","2014-02-14 18:11:35",18,6,2,"male",0,"einstein","0-1",">139","Shih Tzu","Pure Breed","Toy",20,0.00067982456259,-1.69331037564894,0.893262437779645
"185",185,185,185,186,"fd672db2-7144-11e5-ba71-058fbc01cf0b","2014-02-18 14:07:19",14,3,2,"male",1,"stargazer","0-1","20-49","I Don't Know","Mixed Breed/ Other/ I Don't Know","",20,0.01157772905,-1.20598783557888,1.23819114759695
"186",186,186,186,187,"fd672ee8-7144-11e5-ba71-058fbc01cf0b","2014-02-19 23:44:59",23,4,2,"female",1,"stargazer","0-1","90-139","Great Dane","Pure Breed","Working",20,0.0588170078,0.0214969129326288,-1.53928183306951
"187",187,187,187,188,"fd672f4c-7144-11e5-ba71-058fbc01cf0b","2014-03-10 19:22:33",19,2,3,"male",1,"socialite","7-10","20-49","Labrador Retriever-Poodle Mix","Cross Breed","",20,0.15710648148,-0.433654230086665,-0.202373916009102
"188",188,188,188,189,"fd674b94-7144-11e5-ba71-058fbc01cf0b","2014-03-13 18:38:38",18,5,3,"male",1,"stargazer","5-7","0-19","West Highland White Terrier","Pure Breed","Terrier",20,0.0031980994145,-1.69331037564894,0.893262437779645
"189",189,189,189,190,"fd674cca-7144-11e5-ba71-058fbc01cf0b","2014-03-13 17:28:09",17,5,3,"male",1,"socialite","5-7","50-89","German Shepherd Dog","Pure Breed","Herding",20,0.16988974171,-0.820542105735327,-2.368624824231
"190",190,190,190,191,"fd674e5a-7144-11e5-ba71-058fbc01cf0b","2014-03-11 23:34:15",23,3,3,"male",1,"einstein","2-4","20-49","Golden Retriever-Poodle Mix","Cross Breed","",20,0.0023732943471,0.078210272131679,-1.38975321428186
"191",191,191,191,192,"fd674ebe-7144-11e5-ba71-058fbc01cf0b","2014-03-05 22:54:47",22,4,3,"male",1,"renaissance-dog","2-4","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.77016386452,0.71675740253439,0.159921938787723
"192",192,192,192,193,"fd674f90-7144-11e5-ba71-058fbc01cf0b","2014-03-14 11:21:02",11,6,3,"male",1,"ace","5-7","20-49","Border Collie","Pure Breed","Herding",23,0.27329650674,3.35325423904962,1.41009948806951
"193",193,193,193,194,"fd675544-7144-11e5-ba71-058fbc01cf0b","2014-03-09 15:56:41",15,1,3,"female",0,"stargazer","5-7","0-19","Shiba Inu","Pure Breed","Non-Sporting",20,0.0038827972695,-0.718665295508808,1.58311985741425
"194",194,194,194,195,"fd675616-7144-11e5-ba71-058fbc01cf0b","2014-03-08 18:52:35",18,7,3,"male",1,"renaissance-dog","5-7","50-89","Giant Schnauzer","Pure Breed","Working",20,0.27599780702,-0.530479282751729,-0.560792012302801
"195",195,195,195,196,"fd675db4-7144-11e5-ba71-058fbc01cf0b","2014-03-19 16:43:57",16,4,3,"male",1,"charmer","2-4","90-139","Beauceron","Pure Breed","Herding",20,0.53347770468,-1.12774680509918,1.08913716171509
"196",196,196,196,197,"fd676674-7144-11e5-ba71-058fbc01cf0b","2014-03-12 20:16:53",20,4,3,"female",1,"protodog","0-1","20-49","Boxer","Pure Breed","Working",20,0.107270346,-1.52966632504014,0.281658576152649
"197",197,197,197,198,"fd6778d0-7144-11e5-ba71-058fbc01cf0b","2014-03-16 02:58:22",2,1,3,"male",1,"stargazer","2-4","20-49","Maltese-Poodle Mix","Cross Breed","Toy",20,0.0021089181291,0.53191714572408,-0.193524263980654
"198",198,198,198,199,"fd67883e-7144-11e5-ba71-058fbc01cf0b","2014-03-15 22:45:36",22,7,3,"male",1,"ace","7-10","20-49","Wire Fox Terrier","Pure Breed","Terrier",20,0.0059594298208,-0.0919298054654715,-1.83833907064481
"199",199,199,199,200,"fd6797d4-7144-11e5-ba71-058fbc01cf0b","2014-03-20 20:52:02",20,5,3,"male",1,"stargazer","5-7","20-49","Russell Terrier","Pure Breed","Terrier",20,1.7473135965,2.20516271360149,0.614901743228613
"200",200,200,200,201,"fd67a472-7144-11e5-ba71-058fbc01cf0b","2014-03-24 11:54:54",11,2,3,"female",1,"charmer","5-7","20-49","Border Collie","Pure Breed","Herding",27,13.558428152,1.26261771640026,1.51732034928745
"201",201,201,201,202,"fd67ae40-7144-11e5-ba71-058fbc01cf0b","2014-03-29 22:33:21",22,7,3,"female",1,"charmer","5-7","0-19","Mixed","Mixed Breed/ Other/ I Don't Know","",31,7.2100752315,-0.607090049727346,-0.744634735622587
"202",202,202,202,203,"fd67b098-7144-11e5-ba71-058fbc01cf0b","2014-03-30 17:31:17",17,1,3,"male",0,"charmer","0-1","50-89","Australian Shepherd","Pure Breed","Herding",20,0.49155519006,-0.975524787026334,-0.343434671950741
"203",203,203,203,204,"fd67f738-7144-11e5-ba71-058fbc01cf0b","2014-04-18 19:17:05",19,6,4,"female",1,"expert","5-7","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.48019980507,-0.769603700622067,-0.392752483408372
"204",204,204,204,205,"fd67fc24-7144-11e5-ba71-058fbc01cf0b","2014-04-19 17:59:06",17,7,4,"male",1,"charmer","7-10","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.19578642787,0.538937851828789,0.348321279307017
"205",205,205,205,206,"fd680124-7144-11e5-ba71-058fbc01cf0b","2014-11-10 21:21:06",21,2,11,"female",1,"","7-10","50-89","Belgian Tervuren","Pure Breed","Herding",13,2.9301138117,0.393298706387019,-1.75724633230656
"206",206,206,206,207,"fd681344-7144-11e5-ba71-058fbc01cf0b","2014-04-28 05:43:40",5,2,4,"male",1,"protodog","7-10","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.0016873781629,4.51744875000202,-1.3797488362474
"207",207,207,207,208,"fd6816be-7144-11e5-ba71-058fbc01cf0b","2014-04-29 21:33:31",21,3,4,"female",1,"maverick","2-4","50-89","German Shepherd Dog","Pure Breed","Herding",28,1.9169491598,-0.420795569893771,2.19615100557998
"208",208,208,208,209,"fd684d5a-7144-11e5-ba71-058fbc01cf0b","2014-05-09 23:10:38",23,6,5,"male",0,"socialite","5-7","50-89","Belgian Tervuren","Pure Breed","Herding",20,24.317203338,-0.458659812439118,0.0698120028302714
"209",209,209,209,210,"fd685084-7144-11e5-ba71-058fbc01cf0b","2014-06-13 21:51:56",21,6,6,"female",1,"charmer","0-1","50-89","Golden Retriever-Labrador Retriever Mix","Cross Breed","",20,0.40864217836,2.07652136503398,1.88805319654342
"210",210,210,210,211,"fd6852dc-7144-11e5-ba71-058fbc01cf0b","2014-05-09 18:59:40",18,6,5,"male",1,"socialite","0-1","50-89","Labrador Retriever-Golden Retriever Mix","Cross Breed","",20,0.58859344542,-1.47511830817054,0.0777906222769838
"211",211,211,211,212,"fd6858c2-7144-11e5-ba71-058fbc01cf0b","2014-05-13 23:30:47",23,3,5,"female",0,"socialite","5-7","20-49","English Cocker Spaniel","Pure Breed","Sporting",20,1.0051449805,-0.0854337784771242,-0.778149352654861
"212",212,212,212,213,"fd68598a-7144-11e5-ba71-058fbc01cf0b","2014-05-17 15:51:57",15,7,5,"female",0,"socialite","0-1","20-49","Golden Retriever-Labrador Retriever Mix","Cross Breed","",20,2.6319937865,0.0123185145962941,2.10051292214021
"213",213,213,213,214,"fd686f9c-7144-11e5-ba71-058fbc01cf0b","2014-06-01 22:55:01",22,1,6,"male",1,"renaissance-dog","5-7","20-49","Soft Coated Wheaten Terrier","Pure Breed","Terrier",20,0.6445711501,0.134923631330729,-1.24022459549421
"214",214,214,214,215,"fd6872c6-7144-11e5-ba71-058fbc01cf0b","2014-05-18 19:59:11",19,1,5,"male",0,"socialite","0-1","90-139","Labrador Retriever","Pure Breed","Sporting",20,1.1153782895,-1.19371685450474,0.47203714355192
"215",215,215,215,216,"fd68732a-7144-11e5-ba71-058fbc01cf0b","2014-05-19 08:49:02",8,2,5,"male",1,"renaissance-dog","0-1","20-49","Labradoodle","Popular Hybrid","",20,0.14707236842,1.93821755145354,-0.471641931545872
"216",216,216,216,217,"fd6875e6-7144-11e5-ba71-058fbc01cf0b","2014-05-29 12:00:50",12,5,5,"male",0,"renaissance-dog","5-7","0-19","Chihuahua-Yorkshire Terrier Mix","Cross Breed","",20,0.22000913743,2.29102935393478,1.41247395673417
"217",217,217,217,218,"fd688478-7144-11e5-ba71-058fbc01cf0b","2014-05-25 11:52:28",11,1,5,"female",0,"renaissance-dog","0-1","50-89","Labrador Retriever-Golden Retriever Mix","Cross Breed","",20,0.74931225633,1.13095509920681,0.00639165262182989
"218",218,218,218,219,"fd689710-7144-11e5-ba71-058fbc01cf0b","2014-05-28 02:03:54",2,4,5,"male",0,"renaissance-dog","5-7",">139","Irish Wolfhound","Pure Breed","Hound",20,0.21283199318,0.53191714572408,-0.193524263980654
"219",219,219,219,220,"fd68bca4-7144-11e5-ba71-058fbc01cf0b","2014-06-07 10:28:48",10,7,6,"male",1,"einstein","5-7","20-49","Mixed","Mixed Breed/ Other/ I Don't Know","",42,0.10873419151,1.30964079265096,2.54182682460835
