"","X.3","X.2","X.1","X","dog_guid","MIN.c.created_at.","hour","day","month","gender","neutered","personality","age","weight","breed","btype","bgroup","ntests","mid","PC1","PC2"
"26",26,26,26,27,"fd405b88-7144-11e5-ba71-058fbc01cf0b","2013-02-22 11:25:02",11,6,2,"female",1,"protodog","2-4","0-19","Mixed","Mixed Breed/ Other/ I Don't Know","",31,4.6610760031,2.64207116526632,3.34166376717527
"27",27,27,27,28,"fd406466-7144-11e5-ba71-058fbc01cf0b","2013-06-09 15:51:00",15,1,6,"male",1,"socialite","2-4","20-49","Miniature Schnauzer-Poodle Mix","Cross Breed","",20,0.11003411306,-0.109512120421223,2.01428074468589
"28",28,28,28,29,"fd40bd62-7144-11e5-ba71-058fbc01cf0b","2013-03-03 22:10:22",22,1,3,"male",1,"stargazer","2-4",">139","Shih Tzu","Pure Breed","Toy",35,18.763468137,-3.12614643674347,0.481668419239911
"29",29,29,29,30,"fd40cb7c-7144-11e5-ba71-058fbc01cf0b","2013-02-28 20:19:45",20,5,2,"male",1,"ace","5-7","20-49","Scottish Terrier","Pure Breed","Terrier",20,0.10449439571,-1.58421434190974,0.485526530028314
"30",30,30,30,31,"fd40d4dc-7144-11e5-ba71-058fbc01cf0b","2013-03-03 23:39:20",23,1,3,"male",1,"expert","2-4","50-89","Weimaraner","Pure Breed","Sporting",20,1.1547179581,-0.602350038256923,-3.18409663973366
"31",31,31,31,32,"fd40debe-7144-11e5-ba71-058fbc01cf0b","2013-02-27 15:21:06",15,4,2,"male",1,"charmer","7-10","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",20,0.023353435669,0.605901958366141,0.790476323815734
"32",32,32,32,33,"fd410a7e-7144-11e5-ba71-058fbc01cf0b","2013-03-02 21:36:30",21,7,3,"female",1,"stargazer","5-7","20-49","Australian Cattle Dog-Border Collie Mix","Cross Breed","",20,1.526494883,-0.488923319858823,-2.88503940215836
"33",33,33,33,34,"fd4111f4-7144-11e5-ba71-058fbc01cf0b","2013-03-05 16:19:34",16,3,3,"male",1,"charmer","5-7","50-89","Mixed","Mixed Breed/ Other/ I Don't Know","",20,2.9640052388,-0.513207829308719,0.273679956705937
"34",34,34,34,35,"fd411b0e-7144-11e5-ba71-058fbc01cf0b","2013-03-02 17:22:59",17,7,3,"male",1,"charmer","5-7","90-139","Golden Retriever","Pure Breed","Sporting",20,12.518426535,-0.0409914003522119,0.137533270177819
"35",35,35,35,36,"fd413080-7144-11e5-ba71-058fbc01cf0b","2013-03-02 21:40:48",21,7,3,"male",1,"renaissance-dog","5-7","20-49","Labradoodle","Popular Hybrid","",20,0.041263401557,0.00319352507432053,-0.573195457763737
"36",36,36,36,37,"fd414674-7144-11e5-ba71-058fbc01cf0b","2013-03-02 21:10:09",21,7,3,"female",1,"charmer","2-4","0-19","Shetland Sheepdog","Pure Breed","Herding",20,0.22011634991,-0.0919298054654715,-1.83833907064481
"37",37,37,37,38,"fd4146f6-7144-11e5-ba71-058fbc01cf0b","2013-03-02 21:27:15",21,7,3,"male",1,"protodog","5-7","0-19","Shetland Sheepdog","Pure Breed","Herding",20,0.22084064327,0.134923631330729,-1.24022459549421
